City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description,Rain (last 3 hrs),Snow (last 3 hrs)
98,Hukuntsi,BW,2020-04-19 01:12:31,-24.0,21.75,70.25,36,11,8.19,few clouds,0,0
99,Meulaboh,ID,2020-04-19 01:07:39,4.14,96.13,78.93,83,80,5.32,light rain,0,0
100,Cape Town,ZA,2020-04-19 01:12:32,-33.93,18.42,57.2,76,77,2.24,broken clouds,0,0
101,Nizwa,OM,2020-04-19 01:12:32,22.93,57.53,76.33,42,51,0.69,broken clouds,0,0
102,Arraial Do Cabo,BR,2020-04-19 01:12:33,-22.97,-42.03,74.16,71,97,7.96,overcast clouds,0,0
103,Hithadhoo,MV,2020-04-19 01:09:22,-0.6,73.08,83.93,73,79,11.03,broken clouds,0,0
104,Itambe,BR,2020-04-19 01:12:34,-15.24,-40.62,69.8,80,98,5.68,light rain,0,0
105,Ushibuka,JP,2020-04-19 01:12:34,32.19,130.02,58.51,65,86,6.96,overcast clouds,0,0
106,Hermanus,ZA,2020-04-19 01:12:35,-34.42,19.23,64.99,53,94,2.01,overcast clouds,0,0
107,Avarua,CK,2020-04-19 01:08:20,-21.21,-159.78,82.4,69,70,6.93,broken clouds,0,0
108,Muzhi,RU,2020-04-19 01:12:35,65.37,64.67,33.12,96,100,3.49,overcast clouds,0,0
109,Dajal,PK,2020-04-19 01:12:36,29.56,70.38,75.25,45,87,4.99,overcast clouds,0,0
110,Tomatlan,MX,2020-04-19 01:12:36,19.93,-105.25,82.36,51,61,11.92,broken clouds,0,0
111,San Patricio,MX,2020-04-19 01:12:37,19.22,-104.7,78.8,83,20,11.41,few clouds,0,0
112,Rock Sound,BS,2020-04-19 01:07:44,24.9,-76.2,78.49,79,25,8.19,scattered clouds,0,0
113,Kloulklubed,PW,2020-04-19 01:12:37,7.04,134.26,82.4,83,75,8.05,broken clouds,0,0
114,Egvekinot,RU,2020-04-19 01:12:38,66.32,-179.17,9.12,89,100,20.85,light snow,0,0
115,Stepnogorsk,KZ,2020-04-19 01:12:38,52.35,71.89,48.88,58,77,3.51,broken clouds,0,0
116,Little Current,CA,2020-04-19 01:12:40,45.98,-81.92,43.0,60,75,17.22,broken clouds,0,0
117,Lompoc,US,2020-04-19 01:12:40,34.64,-120.46,59.0,62,90,12.75,overcast clouds,0,0
118,Fandriana,MG,2020-04-19 01:12:40,-20.23,47.38,58.53,62,84,2.82,light rain,0,0
119,Constitucion,CL,2020-04-19 01:12:41,-35.33,-72.42,59.36,92,69,11.05,broken clouds,0,0
120,Alquizar,CU,2020-04-19 01:12:41,22.81,-82.58,84.0,83,40,3.36,scattered clouds,0,0
121,Westport,US,2020-04-19 01:09:26,41.14,-73.36,42.8,75,90,6.93,overcast clouds,0,0
122,Yigou,CN,2020-04-19 01:12:42,35.81,114.32,55.02,69,90,4.43,overcast clouds,0,0
123,Bambous Virieux,MU,2020-04-19 01:12:43,-20.34,57.76,77.0,78,75,13.87,shower rain,0,0
124,Chapada Dos Guimaraes,BR,2020-04-19 01:12:43,-15.46,-55.75,75.2,88,75,5.82,thunderstorm with light rain,0,0
125,Richards Bay,ZA,2020-04-19 01:12:44,-28.78,32.04,72.57,78,48,8.99,light rain,0,0
126,Narsaq,GL,2020-04-19 01:12:44,60.92,-46.05,28.4,42,86,12.75,light snow,0,0
127,Boa Vista,BR,2020-04-19 01:12:44,2.82,-60.67,77.0,73,75,13.87,thunderstorm,0,0
128,Sungairaya,ID,2020-04-19 01:12:45,0.7,108.9,77.36,82,100,4.21,overcast clouds,0,0
129,Kadan,CZ,2020-04-19 01:12:46,50.38,13.27,46.99,94,100,1.01,moderate rain,0,0
130,Bairiki,KI,2020-04-19 01:12:46,1.33,172.98,86.0,79,40,6.93,scattered clouds,0,0
131,Kitgum,UG,2020-04-19 01:12:47,3.28,32.89,66.87,72,100,3.58,light rain,0,0
132,Tecoanapa,MX,2020-04-19 01:12:48,16.52,-98.75,84.13,64,54,8.14,broken clouds,0,0
133,Kabwe,ZM,2020-04-19 01:12:49,-14.45,28.45,61.38,63,0,6.02,clear sky,0,0
134,Khani,GE,2020-04-19 01:12:49,41.96,42.96,44.6,93,100,1.12,light rain,0,0
135,Korla,CN,2020-04-19 01:12:50,41.76,86.15,57.97,36,99,9.57,overcast clouds,0,0
136,Mata,PT,2020-04-19 01:12:50,40.68,-7.46,48.99,92,82,2.44,broken clouds,0,0
137,Carutapera,BR,2020-04-19 01:12:51,-1.2,-46.02,79.18,84,91,5.48,light rain,0,0
138,Torbay,CA,2020-04-19 01:12:51,47.67,-52.73,30.99,63,5,9.17,clear sky,0,0
139,Dikson,RU,2020-04-19 01:12:52,73.51,80.55,35.65,87,100,20.71,overcast clouds,0,0
140,Havoysund,NO,2020-04-19 01:12:56,71.0,24.66,35.6,100,100,24.16,light rain,0,0
141,Myaundzha,RU,2020-04-19 01:12:57,63.05,147.19,-0.22,76,100,9.55,overcast clouds,0,0
142,Bengkulu,ID,2020-04-19 01:08:24,-3.8,102.27,77.59,83,87,3.89,light rain,0,0
143,Lorengau,PG,2020-04-19 01:12:58,-2.02,147.27,84.83,69,10,2.62,clear sky,0,0
144,Sitka,US,2020-04-19 01:12:59,57.05,-135.33,53.6,71,20,4.7,few clouds,0,0
145,Saldanha,ZA,2020-04-19 01:12:59,-33.01,17.94,59.0,62,100,4.7,overcast clouds,0,0
146,Beringovskiy,RU,2020-04-19 01:13:00,63.05,179.32,20.89,96,100,17.2,light snow,0,0
147,Escanaba,US,2020-04-19 01:13:01,45.75,-87.06,55.4,79,90,11.41,overcast clouds,0,0
148,Bandar-E Lengeh,IR,2020-04-19 01:13:01,26.56,54.88,75.2,83,67,4.7,broken clouds,0,0
149,Marzuq,YE,2020-04-19 01:13:01,14.4,46.47,73.36,45,92,3.76,overcast clouds,0,0
150,Anadyr,RU,2020-04-19 01:09:24,64.75,177.48,15.8,85,90,35.79,snow,0,0
151,Rochester,US,2020-04-19 01:10:46,43.15,-77.62,45.0,51,40,10.29,scattered clouds,0,0
152,Lagos,NG,2020-04-19 01:13:03,6.58,3.75,84.2,83,20,3.36,few clouds,0,0
153,Ribeira Grande,PT,2020-04-19 01:13:03,38.52,-28.7,61.93,85,100,16.91,light rain,0,0
154,Praia,CV,2020-04-19 01:13:04,14.92,-23.51,71.6,60,40,17.22,scattered clouds,0,0
155,Caravelas,BR,2020-04-19 01:09:51,-17.71,-39.25,76.28,79,89,17.02,overcast clouds,0,0
156,Venado Tuerto,AR,2020-04-19 01:13:04,-33.75,-61.97,62.01,63,0,10.85,clear sky,0,0
157,Mae Hong Son,TH,2020-04-19 01:13:05,19.3,97.97,78.8,65,20,3.36,mist,0,0
158,Ponta Do Sol,PT,2020-04-19 01:13:05,32.67,-17.1,57.0,63,18,1.01,few clouds,0,0
159,Faya,SA,2020-04-19 01:13:06,18.39,42.45,62.6,87,20,2.77,few clouds,0,0
160,Saint-Michel-Des-Saints,CA,2020-04-19 01:08:27,46.68,-73.92,39.0,4,71,1.99,broken clouds,0,0
161,Mayo,US,2020-04-19 01:13:07,38.89,-76.51,48.0,49,1,3.36,clear sky,0,0
162,Faanui,PF,2020-04-19 01:09:40,-16.48,-151.75,82.78,74,25,10.63,light rain,0,0
163,Lubango,AO,2020-04-19 01:13:08,-14.92,13.49,59.36,53,15,3.67,few clouds,0,0
164,Kavaratti,IN,2020-04-19 01:13:08,10.57,72.64,84.6,71,9,5.79,clear sky,0,0
165,Pemba,MZ,2020-04-19 01:13:09,-12.97,40.52,76.23,88,40,13.27,light rain,0,0
166,Labrea,BR,2020-04-19 01:13:10,-7.26,-64.8,75.25,84,30,2.86,light rain,0,0
167,Geraldton,AU,2020-04-19 01:13:10,-28.77,114.6,69.8,94,75,6.93,broken clouds,0,0
168,Gat,IL,2020-04-19 01:12:05,31.61,34.76,61.0,20,0,5.46,clear sky,0,0
169,Pangnirtung,CA,2020-04-19 01:09:26,66.15,-65.71,4.26,86,99,4.23,overcast clouds,0,0
170,Vanimo,PG,2020-04-19 01:13:11,-2.67,141.3,84.67,72,95,4.07,light rain,0,0
171,Luanda,AO,2020-04-19 01:08:30,-8.84,13.23,77.0,94,75,3.36,broken clouds,0,0
172,Palu,ID,2020-04-19 01:13:13,-0.89,119.87,83.08,67,84,2.19,light rain,0,0
173,Lebu,CL,2020-04-19 01:13:07,-37.62,-73.65,54.91,90,57,1.86,broken clouds,0,0
174,Occhiobello,IT,2020-04-19 01:13:14,44.92,11.58,55.99,78,70,2.93,broken clouds,0,0
175,Te Anau,NZ,2020-04-19 01:13:14,-45.42,167.72,47.91,71,95,9.75,light rain,0,0
176,Vaini,TO,2020-04-19 01:13:14,-21.2,-175.2,82.4,69,40,12.75,scattered clouds,0,0
177,Robinson,US,2020-04-19 01:09:25,31.47,-97.11,62.6,77,90,5.46,overcast clouds,0,0
178,Port Lincoln,AU,2020-04-19 01:13:15,-34.73,135.87,62.51,63,63,16.31,broken clouds,0,0
179,The Valley,AI,2020-04-19 01:13:16,18.22,-63.06,80.6,78,40,10.29,scattered clouds,0,0
180,Yar-Sale,RU,2020-04-19 01:13:16,66.83,70.83,34.25,98,100,11.27,light rain,0,0
181,Bridlington,GB,2020-04-19 01:13:16,54.08,-0.19,37.4,100,31,3.36,scattered clouds,0,0
182,Tabou,CI,2020-04-19 01:13:17,4.42,-7.35,79.34,86,100,7.83,light rain,0,0
183,Dali,CN,2020-04-19 01:13:17,25.7,100.18,53.56,43,3,3.56,clear sky,0,0
184,Severo-Kurilsk,RU,2020-04-19 01:13:18,50.68,156.12,34.54,89,22,13.94,few clouds,0,0
185,Sechura,PE,2020-04-19 01:13:19,-5.56,-80.82,75.92,69,0,14.52,clear sky,0,0
186,Dubovyy Umet,RU,2020-04-19 01:13:19,52.98,50.29,32.0,81,10,6.71,clear sky,0,0
187,Vestmanna,FO,2020-04-19 01:13:19,62.16,-7.17,42.8,81,0,9.17,clear sky,0,0
188,Jalu,LY,2020-04-19 01:13:20,29.03,21.55,65.75,38,0,9.24,clear sky,0,0
189,Yashan,CN,2020-04-19 01:13:22,22.2,109.94,75.96,87,90,8.41,overcast clouds,0,0
190,Sinnamary,GF,2020-04-19 01:13:22,5.38,-52.95,80.01,84,67,10.65,broken clouds,0,0
191,Atar,MR,2020-04-19 01:13:23,20.52,-13.05,70.27,23,0,9.75,clear sky,0,0
192,Mount Gambier,AU,2020-04-19 01:09:55,-37.83,140.77,53.6,93,90,5.82,overcast clouds,0,0
193,Iskateley,RU,2020-04-19 01:13:23,67.68,53.15,28.8,98,100,3.98,overcast clouds,0,0
194,Medford,US,2020-04-19 01:13:24,42.33,-122.88,63.0,39,1,17.22,clear sky,0,0
195,Pokhara,NP,2020-04-19 01:12:09,28.23,83.98,61.05,32,49,3.13,scattered clouds,0,0
196,Thompson,CA,2020-04-19 01:13:26,55.74,-97.86,17.6,37,20,8.05,few clouds,0,0
197,Waddan,LY,2020-04-19 01:13:29,29.16,16.14,67.5,32,21,11.83,few clouds,0,0
198,Barcelona,ES,2020-04-19 01:13:07,41.39,2.16,61.0,93,40,9.17,moderate rain,0,0
199,Cabo San Lucas,MX,2020-04-19 01:09:49,22.89,-109.91,73.99,64,5,14.99,clear sky,0,0
200,Usakos,NA,2020-04-19 01:13:30,-22.0,15.6,78.84,24,68,5.44,broken clouds,0,0
201,Cherskiy,RU,2020-04-19 01:13:30,68.75,161.3,7.32,88,22,8.97,few clouds,0,0
202,Chicama,PE,2020-04-19 01:13:32,-7.84,-79.15,74.01,71,23,6.58,few clouds,0,0
203,Bokoro,TD,2020-04-19 01:13:34,12.38,17.06,82.33,12,34,9.78,scattered clouds,0,0
204,Namatanai,PG,2020-04-19 01:13:38,-3.67,152.43,83.41,75,95,7.99,light rain,0,0
205,Hit,IQ,2020-04-19 01:13:38,33.64,42.83,71.83,36,0,2.19,clear sky,0,0
206,Clyde River,CA,2020-04-19 01:13:39,70.47,-68.59,8.6,78,90,10.29,light snow,0,0
207,Kruisfontein,ZA,2020-04-19 01:13:40,-34.0,24.73,65.39,36,0,6.62,clear sky,0,0
208,Puerto Madero,MX,2020-04-19 01:13:40,14.72,-92.42,87.8,62,75,5.82,broken clouds,0,0
209,Havre-Saint-Pierre,CA,2020-04-19 01:13:41,50.23,-63.6,30.2,68,1,9.17,clear sky,0,0
210,Along,IN,2020-04-19 01:13:43,28.17,94.77,65.66,69,82,2.33,light rain,0,0
211,Bathsheba,BB,2020-04-19 01:09:22,13.22,-59.52,80.6,69,40,16.11,scattered clouds,0,0
212,Airai,TL,2020-04-19 01:09:19,-8.93,125.41,68.7,49,47,3.65,scattered clouds,0,0
213,Atuona,PF,2020-04-19 01:13:44,-9.8,-139.03,82.17,71,94,17.22,overcast clouds,0,0
214,Mirnyy,RU,2020-04-19 01:13:45,62.54,113.96,17.6,40,70,6.71,broken clouds,0,0
215,Thinadhoo,MV,2020-04-19 01:13:45,0.53,72.93,83.62,76,87,11.9,overcast clouds,0,0
216,Coahuayana,MX,2020-04-19 01:13:45,18.73,-103.68,84.2,45,20,11.41,few clouds,0,0
217,Maningrida,AU,2020-04-19 01:13:46,-12.07,134.27,81.21,73,100,5.1,overcast clouds,0,0
218,Nelson Bay,AU,2020-04-19 01:13:46,-32.72,152.15,73.0,59,11,5.82,light rain,0,0
219,Chuy,UY,2020-04-19 01:13:47,-33.7,-53.46,64.33,86,10,9.44,clear sky,0,0
220,Nantucket,US,2020-04-19 01:12:58,41.28,-70.1,39.99,86,90,23.04,overcast clouds,0,0
221,Saint Anthony,US,2020-04-19 01:13:48,45.02,-93.22,59.0,41,20,14.99,few clouds,0,0
222,Port Blair,IN,2020-04-19 01:13:48,11.67,92.75,83.28,74,17,6.06,few clouds,0,0
223,Abu Samrah,SY,2020-04-19 01:10:44,35.3,37.18,62.44,53,7,3.58,clear sky,0,0
224,Khatanga,RU,2020-04-19 01:13:49,71.97,102.5,14.09,94,0,4.61,clear sky,0,0
225,Castro,BR,2020-04-19 01:09:47,-24.79,-50.01,56.71,69,47,6.08,scattered clouds,0,0
226,Alugan,PH,2020-04-19 01:13:50,12.22,125.48,82.78,74,14,12.55,few clouds,0,0
227,Merauke,ID,2020-04-19 01:09:28,-8.47,140.33,83.35,75,100,8.79,overcast clouds,0,0
