City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
183,Taoudenni,ML,2020-04-19 01:21:20,22.68,-3.98,77.72,53,30,15.19
184,Ayan,RU,2020-04-19 01:19:56,56.45,138.17,19.2,83,97,7.11
185,Xuddur,SO,2020-04-19 01:17:57,4.12,43.89,76.66,68,100,14.12
186,Shymkent,KZ,2020-04-19 01:21:23,42.3,69.6,48.2,87,0,6.71
187,Halmstad,SE,2020-04-19 01:16:43,56.67,12.86,37.0,64,0,3.36
188,Zhigansk,RU,2020-04-19 01:15:13,66.77,123.37,6.26,92,72,12.37
189,Maamba,ZM,2020-04-19 01:21:24,-17.37,27.15,72.63,49,72,3.33
190,Conde,BR,2020-04-19 01:14:09,-7.26,-34.91,78.8,94,20,3.15
191,Grand Gaube,MU,2020-04-19 01:14:41,-20.01,57.66,77.0,78,75,13.87
192,Petropavlovsk-Kamchatskiy,RU,2020-04-19 01:16:09,53.05,158.65,44.6,45,20,22.37
193,Bar Harbor,US,2020-04-19 01:21:26,44.39,-68.2,36.0,92,1,3.36
194,Sibolga,ID,2020-04-19 01:14:00,1.74,98.78,77.61,79,79,3.76
195,Chokurdakh,RU,2020-04-19 01:12:30,70.63,147.92,-0.4,89,100,9.73
196,Kruisfontein,ZA,2020-04-19 01:13:40,-34.0,24.73,65.39,36,0,6.62
197,Adrar,MR,2020-04-19 01:14:36,20.5,-10.07,75.67,34,88,8.88
198,Bonavista,CA,2020-04-19 01:21:29,48.65,-53.11,29.48,95,91,8.57
199,Amurzet,RU,2020-04-19 01:21:29,47.7,131.1,57.07,40,66,7.78
200,Khatanga,RU,2020-04-19 01:13:49,71.97,102.5,14.09,94,0,4.61
201,Sergeyevka,KZ,2020-04-19 01:21:30,53.88,67.42,48.42,79,100,6.08
202,Sarangani,PH,2020-04-19 01:21:30,5.4,125.46,83.82,74,6,15.37
203,Lompoc,US,2020-04-19 01:12:40,34.64,-120.46,59.0,62,90,12.75
204,Umea,SE,2020-04-19 01:21:31,63.83,20.26,26.6,86,15,4.7
205,Berkak,NO,2020-04-19 01:21:32,62.83,10.01,37.99,95,12,1.99
206,Lebu,CL,2020-04-19 01:13:07,-37.62,-73.65,54.91,90,57,1.86
207,Marshfield,US,2020-04-19 01:21:33,44.67,-90.17,55.99,58,90,11.41
208,San Andres,CO,2020-04-19 01:14:05,12.58,-81.7,82.4,74,20,10.29
209,Sao Jose Da Coroa Grande,BR,2020-04-19 01:21:36,-8.9,-35.15,80.78,78,91,5.3
210,Guerrero Negro,MX,2020-04-19 01:14:20,27.98,-114.06,63.99,61,0,21.45
211,Lourdes,FR,2020-04-19 01:21:38,43.1,-0.05,55.4,93,100,16.11
212,Zhuji,CN,2020-04-19 01:21:39,29.72,120.24,60.01,93,75,6.71
213,Deputatskiy,RU,2020-04-19 01:21:39,69.3,139.9,-0.8,75,75,2.08
214,Salalah,OM,2020-04-19 01:14:59,17.02,54.09,80.6,74,40,4.7
215,Pevek,RU,2020-04-19 01:16:08,69.7,170.31,3.22,91,30,7.29
216,Bathsheba,BB,2020-04-19 01:09:22,13.22,-59.52,80.6,69,40,16.11
217,East London,ZA,2020-04-19 01:21:41,-33.02,27.91,69.13,67,0,16.78
218,Araguaina,BR,2020-04-19 01:18:23,-7.19,-48.21,74.12,85,99,3.02
219,Majene,ID,2020-04-19 01:21:42,-3.54,118.97,81.3,80,95,3.0
220,Montepuez,MZ,2020-04-19 01:21:42,-13.13,39.0,67.53,85,19,7.56
221,Batagay,RU,2020-04-19 01:21:43,67.63,134.63,0.93,84,58,2.77
222,Teresopolis,BR,2020-04-19 01:21:43,-22.41,-42.97,73.4,88,40,0.51
223,Urman,RU,2020-04-19 01:21:44,54.88,56.87,33.19,88,81,5.46
224,Killarney,IE,2020-04-19 01:21:45,52.05,-9.52,48.7,88,97,3.78
225,Bambous Virieux,MU,2020-04-19 01:12:43,-20.34,57.76,77.0,78,75,13.87
226,Port Blair,IN,2020-04-19 01:13:48,11.67,92.75,83.28,74,17,6.06
227,Lloret De Mar,ES,2020-04-19 01:20:40,41.7,2.85,59.0,97,100,1.01
228,Sao Joao Da Barra,BR,2020-04-19 01:15:58,-21.64,-41.05,71.96,81,96,8.16
229,Palmer,US,2020-04-19 01:21:47,42.16,-72.33,37.99,88,1,3.33
230,Verkhoyansk,RU,2020-04-19 01:21:47,67.54,133.38,-0.27,77,5,2.39
231,Kodinsk,RU,2020-04-19 01:21:48,58.69,99.18,26.04,86,0,3.98
232,Aloleng,PH,2020-04-19 01:21:48,16.13,119.78,83.86,68,91,8.37
233,Korla,CN,2020-04-19 01:12:50,41.76,86.15,57.97,36,99,9.57
234,Lewisporte,CA,2020-04-19 01:21:49,49.25,-55.05,24.8,85,20,6.93
235,Gornopravdinsk,RU,2020-04-19 01:16:16,60.05,69.9,40.5,83,81,7.85
236,Kavaratti,IN,2020-04-19 01:13:08,10.57,72.64,84.6,71,9,5.79
237,Ballarat,AU,2020-04-19 01:21:50,-37.57,143.85,55.0,54,80,4.14
238,Balad,IQ,2020-04-19 01:21:51,34.02,44.15,69.51,44,27,9.04
239,Tucurui,BR,2020-04-19 01:21:51,-3.77,-49.67,75.15,85,96,2.55
240,Takoradi,GH,2020-04-19 01:21:51,4.88,-1.76,80.4,85,27,7.09
241,La Ronge,CA,2020-04-19 01:21:52,55.1,-105.28,32.0,82,75,4.7
242,Santarem,BR,2020-04-19 01:21:52,-2.44,-54.71,77.0,94,40,3.44
243,Bengkulu,ID,2020-04-19 01:08:24,-3.8,102.27,77.59,83,87,3.89
244,Loveland,US,2020-04-19 01:21:53,40.4,-105.08,46.0,38,75,4.81
245,Lazaro Cardenas,MX,2020-04-19 01:21:53,17.96,-102.2,81.54,64,71,7.65
246,Gorontalo,ID,2020-04-19 01:21:54,0.54,123.06,82.8,77,27,1.86
247,Souillac,MU,2020-04-19 01:12:09,-20.52,57.52,77.0,78,75,13.87
248,Caconda,AO,2020-04-19 01:21:55,-13.73,15.07,58.64,60,91,2.8
249,Hrinova,SK,2020-04-19 01:21:55,48.58,19.53,44.6,75,100,1.12
250,Broken Hill,AU,2020-04-19 01:12:53,-31.95,141.43,62.6,55,6,4.7
251,Fonte Boa,BR,2020-04-19 01:21:56,-2.5,-66.27,74.7,91,63,2.73
252,Karratha,AU,2020-04-19 01:21:57,-20.74,116.85,84.52,50,94,8.19
253,Porto Empedocle,IT,2020-04-19 01:21:57,37.29,13.53,60.01,100,97,4.65
