City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description,Rain (last 3 hrs),Snow (last 3 hrs)
250,250,Yaan,NG,2020-04-19 01:14:03,7.38,8.57,81.7,68,79,11.07,broken clouds,0,0
252,252,San Andres,CO,2020-04-19 01:14:05,12.58,-81.7,82.4,74,20,10.29,few clouds,0,0
257,257,Kununurra,AU,2020-04-19 01:09:25,-15.77,128.73,89.6,59,53,3.36,broken clouds,0,0
259,259,Conde,BR,2020-04-19 01:14:09,-7.26,-34.91,78.8,94,20,3.15,few clouds,0,0
262,262,Lethem,GY,2020-04-19 01:14:10,3.38,-59.8,86.04,44,24,3.58,few clouds,0,0
266,266,Champasak,LA,2020-04-19 01:14:12,14.75,106.0,82.4,74,20,2.24,few clouds,0,0
267,267,Acapulco,MX,2020-04-19 01:14:12,16.86,-99.89,82.4,74,5,6.93,haze,0,0
268,268,Sao Joao De Pirabas,BR,2020-04-19 01:14:13,-0.77,-47.18,78.12,86,99,3.78,overcast clouds,0,0
269,269,Dhidhdhoo,MV,2020-04-19 01:14:16,6.88,73.1,86.45,70,27,10.54,scattered clouds,0,0
278,278,Ambon,ID,2020-04-19 01:14:21,-3.7,128.18,87.8,66,40,4.7,scattered clouds,0,0
282,282,Birao,CF,2020-04-19 01:14:23,10.28,22.79,77.32,14,95,0.83,overcast clouds,0,0
284,284,Port-Gentil,GA,2020-04-19 01:14:24,-0.72,8.78,81.68,83,34,8.84,light rain,0,0
285,285,Kaohsiung,TW,2020-04-19 01:14:25,22.62,120.31,82.4,69,75,8.05,broken clouds,0,0
289,289,Miami,US,2020-04-19 01:12:50,25.77,-80.19,80.6,74,20,5.82,few clouds,0,0
302,302,Etchoropo,MX,2020-04-19 01:14:32,26.77,-109.67,80.01,44,5,8.01,clear sky,0,0
303,303,Charters Towers,AU,2020-04-19 01:14:11,-20.1,146.27,83.41,53,12,6.58,light rain,0,0
305,305,Tautira,PF,2020-04-19 01:14:35,-17.73,-149.15,87.8,70,84,9.17,light rain,0,0
307,307,Benjamin Hill,MX,2020-04-19 01:14:35,30.17,-111.1,77.0,27,0,3.0,clear sky,0,0
310,310,Morant Bay,JM,2020-04-19 01:14:38,17.88,-76.41,84.2,70,40,9.17,scattered clouds,0,0
317,317,Grand Gaube,MU,2020-04-19 01:14:41,-20.01,57.66,77.0,78,75,13.87,shower rain,0,0
320,320,Poum,NC,2020-04-19 01:14:42,-20.23,164.02,78.91,76,41,12.77,scattered clouds,0,0
