City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description,Rain (last 3 hrs),Snow (last 3 hrs)
321,321,Alofi,NU,2020-04-19 19:07:23,-19.06,-169.92,75.2,94,32,2.24,scattered clouds,0,0
323,323,El Alto,PE,2020-04-19 19:07:24,-4.27,-81.21,76.82,65,19,6.04,few clouds,0,0
324,324,Inhambane,MZ,2020-04-19 19:07:25,-23.86,35.38,75.2,69,20,13.22,few clouds,0,0
326,326,Quatre Cocos,MU,2020-04-19 19:07:26,-20.21,57.76,77.0,83,75,9.17,broken clouds,0,0
331,331,Taoudenni,ML,2020-04-19 19:07:29,22.68,-3.98,86.83,14,1,15.84,clear sky,0,0
337,337,Bakani,IN,2020-04-19 19:07:32,24.28,76.23,86.31,18,78,5.73,broken clouds,0,0
342,342,Bambanglipuro,ID,2020-04-19 19:07:34,-7.95,110.28,79.0,81,90,2.77,light rain,0,0
345,345,Bantogon,PH,2020-04-19 19:07:36,6.53,124.03,79.97,77,98,2.93,overcast clouds,0,0
347,347,Tucuman,AR,2020-04-19 19:04:30,-26.82,-65.22,82.4,51,0,3.36,clear sky,0,0
351,351,Ejutla De Crespo,MX,2020-04-19 19:07:41,16.57,-96.73,82.4,32,20,6.93,few clouds,0,0
359,359,Tonantins,BR,2020-04-19 19:07:46,-2.87,-67.8,83.34,75,74,3.04,moderate rain,0,0
362,362,Buala,SB,2020-04-19 19:07:48,-8.14,159.59,80.62,79,63,1.63,light rain,0,0
363,363,Amapa,BR,2020-04-19 19:07:49,1.0,-52.0,90.75,51,62,2.62,light rain,0,0
364,364,Oistins,BB,2020-04-19 19:07:49,13.07,-59.53,86.0,58,20,19.46,few clouds,0,0
370,370,Morgan City,US,2020-04-19 19:07:52,29.7,-91.21,84.99,78,1,10.29,clear sky,0,0
373,373,Tiruppur,IN,2020-04-19 19:07:55,11.1,77.35,82.4,69,20,3.36,few clouds,0,0
376,376,Xapuri,BR,2020-04-19 19:07:57,-10.65,-68.5,89.22,36,1,3.89,clear sky,0,0
380,380,Waspan,NI,2020-04-19 19:07:59,14.74,-83.97,89.6,66,40,8.05,scattered clouds,0,0
383,383,Namibe,AO,2020-04-19 19:08:01,-15.2,12.15,76.14,62,2,14.14,light rain,0,0
384,384,Puerto Leguizamo,CO,2020-04-19 19:08:01,-0.19,-74.78,87.84,48,9,4.59,light rain,0,0
387,387,Karratha,AU,2020-04-19 19:06:40,-20.74,116.85,84.04,55,99,3.22,overcast clouds,0,0
388,388,Sal Rei,CV,2020-04-19 19:08:03,16.18,-22.92,75.2,60,75,19.46,broken clouds,0,0
391,391,Alice Town,BS,2020-04-19 19:08:05,25.72,-79.3,81.3,75,16,13.42,few clouds,0,0
392,392,Ndjole,GA,2020-04-19 19:08:06,-0.18,10.76,76.98,84,100,1.79,overcast clouds,0,0
393,393,Atar,MR,2020-04-19 19:08:06,20.52,-13.05,88.07,11,0,14.12,clear sky,0,0
394,394,Caramay,PH,2020-04-19 19:08:06,10.18,119.24,80.98,75,28,4.5,scattered clouds,0,0
